source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy
iscx,iscx,dqn,51,validation_fpr_limit,0.0004537864386615631,0.0003842484405529589,0.01873173747744583,-0.003219036824849697,0.029004614370468085,0.0025706940874035992,0.013216960141532175
iscx,iscx,dqn,71,default,0.0005688352471110436,-0.00021012924643237785,0.001522255373561432,0.01774465718750895,-0.013183915622939968,-0.018637532133676096,0.002726808255368196
iscx,iscx,dqn,71,validation_f1,0.0005688352471110436,-0.00021012924643237785,-0.0009947347146143093,-0.011890609924063322,0.011865524060646004,0.016709511568123392,-0.0024219937537386382
iscx,iscx,dqn,71,validation_fpr_limit,0.0005688352471110436,-0.00021012924643237785,0.0035912355668696883,-0.002655551765601727,0.0065919578114700395,0.0019280205655526983,0.0023319686229587022
iscx,iscx,logistic,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,11,default,0.0012366210456163929,0.0010417496310027863,0.0038319195548734974,-0.02695297490615678,0.030982201713908974,0.02827763496143959,0.0013522833762347197
iscx,iscx,mlp,11,validation_f1,0.0012366210456163929,0.0010417496310027863,0.0001189776842480672,-0.00109641156383955,0.0013183915622939635,0.0012853470437017983,1.6522259296047892e-05
iscx,iscx,mlp,11,validation_fpr_limit,0.0012366210456163929,0.0010417496310027863,0.010413930137611938,0.00018599575929667544,0.015820698747528006,0.0,0.007910349373764003
