source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,mendeley,dqn,51,default,-0.04191268731621822,-0.05588860336107035,-0.003980261909639848,-0.0020050801462045964,-0.008973731440691801,-0.002142857142857113,-0.003415437148917344,-0.005712336942620855
iscx,mendeley,dqn,51,validation_f1,-0.04191268731621822,-0.05588860336107035,-0.006291489129734651,-0.003184573770851129,-0.014357970305106882,-0.0030357142857143637,-0.005661128009696259,-0.008952169835450663
iscx,mendeley,dqn,51,validation_fpr_limit,-0.04191268731621822,-0.05588860336107035,0.0105562749630157,0.006204064423526778,0.020231685429923374,0.001071428571428612,0.009580128429247381,0.011083638843891186
iscx,mendeley,dqn,71,default,0.02466661406704962,0.04688339102160688,-0.004154838655590298,-0.0019594832547392693,-0.009789525208027339,-0.003214285714285725,-0.003287619746870807,-0.0066501833063347116
iscx,mendeley,dqn,71,validation_f1,0.02466661406704962,0.04688339102160688,-0.0016305358062919106,-0.0007151894350465593,-0.004078968836678132,-0.001607142857142807,-0.0012359129897676624,-0.0028987978514792845
iscx,mendeley,dqn,71,validation_fpr_limit,0.02466661406704962,0.04688339102160688,0.0017844957412439522,0.0011021537273952497,0.0032631750693423722,-0.00017857142857147235,0.0017208732489569223,0.001619916446414904
iscx,mendeley,logistic,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
