source,target,model,seed,operating_point,average_precision,roc_auc,f1,recall,precision,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,mendeley,ddqn,71,default,0.23038494148851973,0.3652611996830058,-0.026237338518694142,-0.16381138848099208,0.037904241045277565,-0.30107142857142855,0.06863002004521823,-0.22934606530821033
iscx,mendeley,ddqn,71,validation_f1,0.23038494148851973,0.3652611996830058,-0.06330449594171284,-0.2391907325828031,0.02201817868406447,-0.33071428571428574,0.04576177656574132,-0.28288856680023866
iscx,mendeley,ddqn,71,validation_fpr_limit,0.23038494148851973,0.3652611996830058,-0.11673413376047492,-0.3775493555229238,0.16927364173121812,-0.7316071428571428,0.17702889366710955,-0.546593912524512
iscx,mendeley,dqn,11,default,0.24002149252956223,0.38172018856490225,0.006301879174449798,-0.10393212595855772,0.05088925842446518,-0.27607142857142863,0.08606965130643546,-0.18611987381703476
iscx,mendeley,dqn,11,validation_f1,0.24002149252956223,0.38172018856490225,-0.06406536237233906,-0.2408223201174744,0.021641152544455478,-0.33107142857142857,0.04512455422697709,-0.28391167192429023
iscx,mendeley,dqn,11,validation_fpr_limit,0.24002149252956223,0.38172018856490225,-0.09677102504187435,-0.3463860336107032,0.18232122136228796,-0.7301785714285715,0.19189626890893408,-0.5296274192173245
iscx,mendeley,dqn,23,default,-0.030997641569062373,-0.021907209286064044,-0.016743488497007686,-0.14667971936694413,0.039405872080712445,-0.2844642857142857,0.06889228317367085,-0.2124648307613607
iscx,mendeley,dqn,23,validation_f1,-0.030997641569062373,-0.021907209286064044,-0.0348952450839608,-0.1801272638277044,0.030236753026740226,-0.29214285714285715,0.05600779665757638,-0.2336090033250917
iscx,mendeley,dqn,23,validation_fpr_limit,-0.030997641569062373,-0.021907209286064044,-0.09969248477253156,-0.3507913199543155,0.17837330740638518,-0.72,0.1846043400228422,-0.5270696564071958
iscx,mendeley,dqn,37,default,0.24131864334632014,0.406875189380696,-0.0021864816950581956,-0.12139011257953991,0.047098138404633116,-0.28089285714285706,0.07975137228165857,-0.19754454770227647
iscx,mendeley,dqn,37,validation_f1,0.24131864334632014,0.406875189380696,-0.07160116673346639,-0.2550171316691141,0.01747466184008878,-0.3326785714285714,0.03883071987972864,-0.29209651291670213
iscx,mendeley,dqn,37,validation_fpr_limit,0.24131864334632014,0.406875189380696,-0.12471110903742483,-0.3953336596508402,0.1646514118560492,-0.7314285714285714,0.16804745588886566,-0.5558018586409754
iscx,mendeley,dqn,51,default,0.16784163081633707,0.26972292147402277,-0.010059685710112731,-0.13591124163811397,0.04337813257614154,-0.2851785714285714,0.07463366489522877,-0.20717878762042796
iscx,mendeley,dqn,51,validation_f1,0.16784163081633707,0.26972292147402277,-0.029621155206858707,-0.17245880241474953,0.03337558641930993,-0.2925,0.06002059879262528,-0.22977235910989857
iscx,mendeley,dqn,51,validation_fpr_limit,0.16784163081633707,0.26972292147402277,-0.11737046636513021,-0.3723282754119759,0.17079776475024855,-0.7317857142857144,0.17972871943686924,-0.5439508909540456
iscx,mendeley,dqn,71,default,0.23436573058378646,0.37309992890940025,-0.026135806377074466,-0.1636482297275249,0.037965502219792335,-0.30107142857142855,0.06871159942195182,-0.22926080654787273
iscx,mendeley,dqn,71,validation_f1,0.23436573058378646,0.37309992890940025,-0.06281521429461234,-0.23821178006200028,0.022302768736885192,-0.33071428571428574,0.04625125282614273,-0.28237701423821293
iscx,mendeley,dqn,71,validation_fpr_limit,0.23436573058378646,0.37309992890940025,-0.11400151616040444,-0.37249143416544295,0.17093374334553868,-0.7314285714285714,0.17946856863156418,-0.5438656321937079
iscx,mendeley,logistic,11,default,0.2803535001583548,0.43430373458732485,-0.03687855886256397,-0.1926904878446729,0.038134729049330296,-0.3298214285714286,0.06856547036337785,-0.25816352630232753
iscx,mendeley,logistic,11,validation_f1,0.2803535001583548,0.43430373458732485,-0.05137738170123474,-0.22483276227769622,0.030761327010178585,-0.33785714285714286,0.05651219028972332,-0.2787961463040327
iscx,mendeley,logistic,11,validation_fpr_limit,0.2803535001583548,0.43430373458732485,-0.4514943532297147,-0.6005873715124816,0.5779142449830026,-0.9410714285714286,0.1702420285294735,-0.7631511637820786
iscx,mendeley,logistic,23,default,0.2803535001583548,0.43430373458732485,-0.03687855886256397,-0.1926904878446729,0.038134729049330296,-0.3298214285714286,0.06856547036337785,-0.25816352630232753
iscx,mendeley,logistic,23,validation_f1,0.2803535001583548,0.43430373458732485,-0.05137738170123474,-0.22483276227769622,0.030761327010178585,-0.33785714285714286,0.05651219028972332,-0.2787961463040327
iscx,mendeley,logistic,23,validation_fpr_limit,0.2803535001583548,0.43430373458732485,-0.4514943532297147,-0.6005873715124816,0.5779142449830026,-0.9410714285714286,0.1702420285294735,-0.7631511637820786
iscx,mendeley,logistic,37,default,0.2803535001583548,0.43430373458732485,-0.03687855886256397,-0.1926904878446729,0.038134729049330296,-0.3298214285714286,0.06856547036337785,-0.25816352630232753
iscx,mendeley,logistic,37,validation_f1,0.2803535001583548,0.43430373458732485,-0.05137738170123474,-0.22483276227769622,0.030761327010178585,-0.33785714285714286,0.05651219028972332,-0.2787961463040327
iscx,mendeley,logistic,37,validation_fpr_limit,0.2803535001583548,0.43430373458732485,-0.4514943532297147,-0.6005873715124816,0.5779142449830026,-0.9410714285714286,0.1702420285294735,-0.7631511637820786
iscx,mendeley,logistic,51,default,0.2803535001583548,0.43430373458732485,-0.03687855886256397,-0.1926904878446729,0.038134729049330296,-0.3298214285714286,0.06856547036337785,-0.25816352630232753
